Date,Open(Q.DJI),High(Q.DJI),Low(Q.DJI),Last(Q.DJI)
31/12/2019,23058.61,28174.97,22638.41,27649.78
31/12/2018,24809.35,26951.81,21712.53,23327.46
31/12/2017,19872.86,24876.07,19677.94,24719.22
31/12/2016,17405.48,19987.63,15450.56,19762.60
31/12/2015,17823.07,18351.36,15370.33,17425.03
31/12/2014,16572.17,18103.45,15340.69,17823.07
31/12/2013,13104.30,16588.25,13104.30,16576.66
31/12/2012,12221.19,13661.87,12035.09,13104.14
31/12/2011,11577.43,12876.00,10404.49,12217.56
31/12/2010,10430.69,11625.00,9614.32,11577.51
31/12/2009,8772.25,10580.33,6469.95,10428.05
31/12/2008,13261.82,13279.54,7449.38,8776.39
31/12/2007,12459.54,14198.10,11939.61,13264.82
31/12/2006,10718.30,12529.88,10661.15,12463.15
31/12/2005,10783.75,10984.46,10000.46,10717.50
31/12/2004,10452.74,10868.07,9708.40,10783.01
31/12/2003,8342.38,10462.44,7416.64,10453.92
31/12/2002,10021.71,10673.10,7197.49,8341.63
31/12/2001,10790.92,11350.05,8062.34,10021.50
31/12/2000,11501.85,11750.28,9654.64,10786.85
31/12/1999,9184.01,11568.77,9063.26,11497.12
31/12/1998,7910.49,9380.20,7400.30,9181.43
31/12/1997,6461.73,8299.49,6352.82,7908.24
31/12/1996,5107.00,6589.53,5000.79,6448.26
31/12/1995,3831.41,5235.62,3817.26,5117.12
31/12/1994,3751.57,3985.96,3552.18,3834.44
31/12/1993,3312.46,3799.92,3231.95,3754.09
31/12/1992,3152.06,3422.28,3095.79,3301.11
31/12/1991,2633.66,3188.05,2457.67,3168.83
31/12/1990,2753.41,3010.64,2354.21,2633.66
31/12/1989,2168.39,2795.97,2131.79,2753.20
31/12/1988,1938.83,2188.04,1850.96,2168.57
31/12/1987,1895.11,2736.61,1616.21,1938.83
31/12/1986,1546.67,1961.47,1497.71,1895.95
31/12/1985,1210.14,1563.76,1180.99,1546.67
31/12/1984,1257.72,1291.87,1082.05,1211.57
31/12/1983,1048.92,1291.67,1020.23,1258.64
31/12/1982,875.00,1074.32,769.98,1046.54
31/12/1981,963.98,1030.98,807.45,875.00
31/12/1980,838.74,1009.39,729.95,963.99
31/12/1979,805.96,904.86,792.24,838.74
31/12/1978,830.39,917.27,736.75,805.01
31/12/1977,1004.65,1007.81,792.79,831.17
31/12/1976,858.71,1014.79,858.71,1004.65
31/12/1975,632.04,881.81,632.04,852.41
31/12/1974,855.32,891.66,577.60,616.24
31/12/1973,1031.68,1051.70,788.31,850.86
31/12/1972,889.30,1036.27,889.15,1020.02
31/12/1971,830.57,950.82,797.97,890.20
31/12/1970,809.20,842.00,631.16,838.92
31/12/1969,947.73,968.85,769.93,800.36
31/12/1968,906.84,985.21,825.13,943.75
31/12/1967,786.41,943.08,786.41,905.11
31/12/1966,968.54,995.15,744.32,785.69
31/12/1965,869.78,969.26,840.59,969.26
31/12/1964,766.08,891.71,766.08,874.13
31/12/1963,646.79,767.21,646.79,762.95
31/12/1962,724.71,726.01,535.76,652.10
31/12/1961,610.25,734.91,610.25,731.14
31/12/1960,679.06,685.47,566.05,615.89
31/12/1959,587.59,679.36,574.46,679.36
31/12/1958,439.27,583.65,436.89,583.65
31/12/1957,496.03,520.77,419.79,435.69
31/12/1956,485.78,521.05,462.35,499.47
31/12/1955,408.89,488.40,388.20,488.40
31/12/1954,282.89,404.39,279.87,404.39
31/12/1953,292.14,293.79,255.49,280.90
31/12/1952,269.86,292.00,256.35,291.90
31/12/1951,239.92,276.37,238.99,269.23
31/12/1950,198.89,235.47,196.81,235.41
31/12/1949,175.03,200.52,161.60,200.13
31/12/1948,181.04,193.16,165.39,177.30
31/12/1947,176.39,186.85,163.21,181.16
31/12/1946,191.66,212.50,163.12,177.20
31/12/1945,152.58,195.82,151.35,192.91
31/12/1944,135.92,152.53,134.22,152.32
31/12/1943,119.93,145.82,119.26,135.89
31/12/1942,112.77,119.71,92.92,119.40
31/12/1941,130.57,133.59,106.34,110.96
31/12/1940,151.43,152.80,111.84,131.13
31/12/1939,153.64,155.92,121.44,150.24
31/12/1938,120.57,158.41,98.95,154.76
31/12/1937,178.52,194.40,113.64,120.85
31/12/1936,144.13,184.90,143.11,179.90
31/12/1935,104.51,148.44,96.71,144.13
31/12/1934,100.36,110.74,85.51,104.04
31/12/1933,59.29,108.67,50.16,99.90
31/12/1932,74.62,88.78,41.22,59.93
31/12/1931,169.84,194.36,73.79,77.90
31/12/1930,244.20,294.07,157.51,164.58
31/12/1929,307.01,381.17,198.69,248.48
31/12/1928,203.35,300.00,191.33,300.00
31/12/1927,155.16,202.40,152.73,202.40
31/12/1926,158.54,166.64,135.20,157.20
31/12/1925,121.25,159.39,115.00,156.66
31/12/1924,95.65,120.51,88.33,120.51
31/12/1923,98.77,105.38,85.76,95.52
31/12/1922,78.91,103.43,78.59,98.73
31/12/1921,72.67,81.50,63.90,81.10
31/12/1920,108.76,109.88,66.75,71.95
31/12/1919,82.60,119.62,79.15,107.23
31/12/1918,76.68,89.07,73.38,82.20
31/12/1917,96.15,99.18,65.95,74.38
31/12/1916,98.81,110.15,84.96,95.00
31/12/1915,54.63,99.21,54.22,99.15
31/12/1914,78.59,83.43,53.17,54.58
31/12/1913,88.42,88.57,72.11,78.78
31/12/1912,82.36,94.15,80.15,87.87
31/12/1911,82.11,87.06,72.94,81.68
31/12/1910,98.34,98.34,73.62,81.36
31/12/1909,86.27,100.53,79.91,99.05
31/12/1908,59.61,88.38,58.62,86.15
31/12/1907,94.25,96.37,53.00,58.75
31/12/1906,95.00,103.00,85.18,94.35
31/12/1905,70.39,96.56,68.76,96.20
31/12/1904,47.38,73.23,46.41,69.61
31/12/1903,64.60,67.70,42.15,49.11
31/12/1902,64.32,68.44,59.57,64.29
31/12/1901,70.44,78.26,61.52,64.56
31/12/1900,68.13,71.04,52.96,70.71
31/12/1899,60.41,77.61,58.27,66.08
31/12/1898,49.31,60.97,42.00,60.52
31/12/1897,40.74,55.82,38.49,49.41
31/12/1896,40.94,44.90,28.48,40.45
